"Name","Team","Season","Minutes","Primary Position","All Goals","NP Goals","xG","xG/Shot","Shots","Goal Conversion%","Shooting%","Shot Touch%","Penalty Conversion%","PSxG","Assists","xG Assisted","Key Passes","OP Assists","OP xG Assisted","OP Key Passes","SP Assists","SP xG Assisted","SP Key Passes","Scoring Contribution","xG & xG Assisted","Shots & Key Passes","O/U Performance","Dribbles","Successful Dribbles","Failed Dribbles","Dribble%","Fouls Won","Penalty Wins","Dispossessed","Turnovers","Interceptions","PAdj Interceptions","Clearances","PAdj Clearances","Defensive Actions","Aggressive Actions","Blocks/Shot","Defensive Regains","Average DA X","Ball Recov. F2","Ball Recoveries","Tackles","Tack&Int","Tack/DP%","PAdj Tackles","PAdj Tack&Int","Fouls","Dribbles Stopped%","Dribbled Past","Aerial Win%","Aerial Wins","Errors","Pressures","PAdj Pressures","Pressure Regains","Counterpressures","Counterpress Regains","Average Pressure X","Pressures F2","Pressures F2%","Counterpressures F2","Counterpressures F2%","Yellow Cards","2nd Yellows","Red Cards","OP Passes","Passing%","Long Balls","L/R Footedness%","Long Ball%","Pr. Long Balls","UPr. Long Balls","Passes Pressured%","Pr. Pass%","Pr. Pass% Dif.","Average Pass X","Deep Progressions","xGBuildup","xGChain","Carries","Carry%","Carry Length","OP F3 Passes","PintoB","OP Passes Into Box","SP PintoB","Passes Inside Box","Touches In Box","PinTin","Throughballs","Successful Box Cross%","Successful Crosses","Crossing%","Deep Completions","Pass Forward%","Pass Sideways%","Pass Backward%","F3 Pass Forward%","F3 Pass Sideways%","F3 Pass Backward%","Pass Length","Pr. Pass Length","Pass Length Ratio","Pr. Pass Length%","Pr. Pass Length Dif.","Succ. Pass Length","Succ.Pr. Pass Length","Goals Conceded","PSxG Faced","GSAA","Save%","xSv%","Shot Stopping%","xG Faced","Shots Faced","Shots Faced OT%","All Shots Faced","Positioning Error","Penalties Faced","Penalties Conceded","GK Aggressive Dist.","Claims%","Pass into Danger%","Pass into Pressure%","Positive Outcome","Positive Outcome%","Pass OBV","D&C OBV","DA OBV","Shot OBV","Goalkeeper OBV","OBV"
"Alfonso Blanco","León","2023/2024","212","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","5.52","2.19","0","4.25","0","0","","0","0","0","","0","","0","0","0","0","0","0","0","","0","","0","","0","0","0","18.27","84","4.25","58","53","0.42","7.65","7","100","16","10.99","0.42","0.24","0.24","13.17","100","4.80","0.42","0","0","0","0","0","0","0","","0","","0","25","75","0","100","0","0","32.02","27.77","0.82","100","-4.25","26.17","27.77","0.42","0.80","0.38","89","79","10","1.13","3.82","33","11.47","1.71","0.42","0.42","15.10","-2","5","5","1.87","12","0.03","0.10","","","0.20","0.34"
"Alfredo Talavera","Juárez","2023/2024","1686","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","100","0.27","0","0","0.05","0","0","0.05","0.02","0.16","0.11","0","7.85","2.74","0","3.36","0","0","0","0","0","0","0","0.11","","0","0.05","0.16","0.20","0.05","0.05","0","11.21","0","0","0","0","0.16","0.05","0","19.54","71","6.14","11","43","2.35","11.96","11","57","-14","11.37","0.53","0.12","0.12","15.64","100","4.34","0.32","0.11","0.11","0","0","0","0.11","0","0","0","","0","45","55","0","100","0","0","38.93","45.95","0.73","81","7.02","28.56","37.26","1.60","1.40","-0.20","65","70","-4","1.23","4.59","39","11.90","1.75","0.16","0.16","18.08","1","8","3","1.88","13","0.10","0.05","0.00","","-0.36","-0.21"
"Andrés Eduardo Sánchez Rodríguez","Atlético San Luis","2023/2024","2936","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.21","0","0","0","0","0","0","0","0.06","0.06","0","8.46","2.83","0","4.14","0","0","0","0","0","0","33","0.15","0","0","0.03","0.06","0.07","0.06","0.03","0.03","14.75","0","0","0","0","0.03","0","0","18.02","84","3.10","21","44","1.23","5.82","11","69","-14","9.24","0.58","0.13","0.13","13.98","100","3.74","0.15","0.03","0","0.03","0","0","0","0","0","0","","0","34","66","0","80","20","0","27.88","32.49","0.78","74","4.61","21.64","24.17","1.53","1.36","-0.17","64","68","-4","1.20","4.26","33","13.00","1.70","0.09","0.09","17.71","1","8","3","1.15","8","0.04","0.06","","","-0.27","-0.17"
"Andrés Gudiño","Cruz Azul","2023/2024","1382","Goalkeeper","0","0","0.00","0.06","0.07","0","100","0","","0.03","0","0","0","0","0","0","0","0","0","0","0.00","0.07","-0.00","0","0","0","","0.13","0","0","0.13","0","0","0","0","0.20","0.07","0","7.82","2.04","0.07","3.78","0","0","0","0","0","0.07","0","0.07","","0","0","0.13","0.15","0.07","0.07","0.07","7.01","0","0","0","0","0.20","0","0","15.11","62","5.21","16","37","1.17","13.03","7","38","-23","10.52","1.30","0.08","0.08","10.88","99","4.59","0.72","0","0","0","0","0","0","0","","0","","0","61","39","0","100","0","0","46.30","45.69","0.74","74","-0.60","34.06","33.70","1.11","1.03","-0.08","75","77","-2","0.99","4.43","38","11.72","1.66","0.26","0.26","15.83","1","9","3","1.75","12","0.11","0.04","-0.04","0.01","-0.20","-0.08"
"Antonio Rodríguez","Tijuana","2023/2024","2769","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.06","0","0","0","0","0","0.03","0.04","0.10","0.06","0","7.67","2.68","0","3.31","0","0","","0","0","0","100","0","","0","0","0.10","0.04","0.10","0","0","7.46","0","0","0","","0.03","0","0","18.75","75","6.66","17","51","1.85","11.31","10","60","-15","12.48","1.17","0.12","0.12","13.49","100","4.20","0.52","0","0","0","0","0","0","0","","0","","0","46","54","0","94","6","0","40.09","43.93","0.80","84","3.84","32.13","36.89","1.40","1.30","-0.09","68","70","-2","1.13","4.39","39","11.34","1.65","0.10","0.06","17.31","2","7","3","1.59","9","0.11","0.04","0.00","","-0.16","-0.01"
"Benny Díaz","Juárez","2023/2024","415","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","8.67","2.88","0","3.69","0","0","","0","0","0","","0","","0","0","0","0","0","0","0","","0","","0","","0.22","0","0","17.13","73","7.15","53","54","2.38","10.84","14","33","-40","11.64","1.95","0.25","0.25","12.36","100","3.45","1.08","0.43","0.22","0.22","0","0","0.22","0","0","0","","0","49","51","0","100","0","0","44.89","48.10","0.81","54","3.21","36.28","26.17","1.52","0.97","-0.54","59","74","-15","0.70","3.69","35","10.62","1.66","0","0","17.27","1","7","4","0.98","6","0.09","0.03","","","-0.58","-0.46"
"Camilo Vargas","Atlas","2023/2024","3473","Goalkeeper","0","0","0","","0","","","0","","0","0","0.00","0.08","0","0.00","0.05","0","0.00","0.03","0","0.00","0.08","-0.00","0.05","0.05","0","100","0.05","0","0","0","0","0","0.03","0.01","0.26","0.21","0","7.67","3.15","0","4.38","0","0","0","0","0","0.03","50","0.08","","0","0.05","0.23","0.21","0.08","0","0","10.51","0","0","0","","0.08","0","0","22.21","72","6.19","66","41","2.25","12.85","11","55","-17","12.50","1.40","0.23","0.23","17.18","100","4.37","0.80","0.08","0.05","0.03","0","0","0.05","0.05","0","0","","0","51","49","0","100","0","0","40.17","45.97","0.72","69","5.80","28.83","31.67","1.24","1.15","-0.09","65","67","-3","1.13","3.52","29","12.28","2.33","0.21","0.18","18.87","0","9","3","1.63","11","0.14","0.06","-0.02","","-0.20","-0.02"
"Carlos Acevedo","Santos Laguna","2023/2024","2444","Goalkeeper","0","0","0","","0","","","0","","0","0","0.00","0.04","0","0.00","0.04","0","0","0","0","0.00","0.04","-0.00","0","0","0","","0.04","0","0","0.04","0","0","0.04","0.04","0.07","0.04","0","8.99","2.48","0","3.42","0","0","0","0","0","0","0","0.04","","0","0","0.07","0.08","0.07","0","0","9.62","0","0","0","","0.07","0","0","16.13","73","5.49","13","45","1.66","10.50","11","67","-6","10.78","0.59","0.05","0.05","12.59","100","4.11","0.26","0","0","0","0","0","0","0","","0","","0","43","57","0","100","0","0","37.52","38.16","0.76","77","0.64","28.46","29.32","1.33","1.16","-0.16","69","73","-4","1.27","4.27","29","14.62","1.50","0.26","0.22","18.25","1","8","2","1.30","10","0.05","0.04","-0.00","","-0.29","-0.19"
"Carlos Moreno","Pachuca","2023/2024","3355","Goalkeeper","0","0","0","","0","","","0","","0","0","0.01","0.11","0","0.00","0.05","0","0.00","0.05","0","0.01","0.11","-0.01","0.05","0.03","0.03","50","0.16","0","0","0.05","0","0","0","0","0.19","0.11","0","7.38","3.23","0","4.35","0","0","0","0","0","0.03","33","0.08","","0","0.05","0.16","0.13","0.03","0","0","8.66","0","0","0","","0.08","0","0","14.22","67","8.10","12","51","1.13","14.86","6","59","-8","10.84","1.39","0.12","0.13","10.01","100","4.89","0.70","0.08","0.03","0.05","0","0","0.03","0","0","0","","0","59","41","0","96","4","0","47.50","47.79","0.82","89","0.29","38.78","42.39","1.10","1.03","-0.07","70","72","-2","1.06","3.65","34","10.65","2.05","0.13","0.13","17.80","3","13","2","1.80","10","0.11","0.06","-0.02","","-0.18","-0.03"
"Diego Urtiaga Ramírez","Atlético San Luis","2023/2024","1013","Goalkeeper","0","0","0.00","0.05","0.09","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0.00","0.09","-0.00","0","0","0","","0.27","0","0","0","0","0","0","0","0.09","0","0","9.69","2.54","0","3.20","0","0","0","0","0","0","0","0.09","100","0.09","0.18","0.09","0.06","0.09","0","0","9.84","0","0","0","","0.18","0","0","17.06","83","4.71","8","53","1.87","7.02","13","63","-20","8.26","0.27","0.22","0.22","13.06","100","3.81","0","0","0","0","0","0.18","0.18","0","","0","","0","39","61","0","","","","28.54","37.01","0.78","79","8.47","22.38","29.34","1.24","1.12","-0.12","73","75","-3","1.34","4.53","29","15.37","1.72","0.18","0.18","13.19","-0","6","2","1.24","8","0.03","0.07","-0.01","-0.00","-0.25","-0.15"
"Esteban Andrada","Monterrey","2023/2024","3846","Goalkeeper","0","0","0","","0","","","0","","0","0","0.00","0.07","0","0.00","0.07","0","0","0","0","0.00","0.07","-0.00","0.12","0.09","0.02","80","0.33","0","0.02","0.07","0","0","0","0","0.26","0.09","0","7.16","4.01","0.05","3.84","0.02","0.02","33","0.02","0.02","0","33","0.05","","0","0","0.23","0.27","0.14","0.05","0.02","11.04","0.02","10","0.02","50","0.21","0","0","29.60","82","8.64","11","58","2.25","12.64","12","69","-13","14.12","0.54","0.25","0.25","23.71","100","5.00","0.30","0.02","0.02","0","0","0","0.02","0","0","0","","0","37","63","0","92","8","0","35.70","37.18","0.84","80","1.48","29.84","29.68","0.80","0.76","-0.04","77","78","-1","0.83","3.42","33","10.39","2.08","0.09","0.07","19.83","7","8","4","2.24","16","0.12","0.06","0.00","","-0.07","0.11"
"Ezequiel Unsain","Necaxa","2023/2024","2705","Goalkeeper","0","0","0","","0","","","0","","0","0.03","0.02","0.13","0.03","0.02","0.10","0","0.00","0.03","0.03","0.02","0.13","0.01","0","0","0","","0.07","0","0","0","0","0","0","0","0.03","0","0","7.55","2.46","0","3.49","0","0","","0","0","0","100","0","","0","0.03","0.03","0.01","0","0","0","10.12","0","0","0","","0","0","0","14.21","55","6.89","14","38","1.33","16.60","6","41","-14","12.30","2.56","0.08","0.10","10.48","100","6.00","1.20","0.03","0.03","0","0","0","0.03","0.03","0","0","","0","60","40","0","83","17","0","57.28","64.26","0.75","83","6.98","43.02","53.05","1.26","1.11","-0.15","68","72","-4","1.20","3.96","31","12.81","1.56","0.13","0.13","15.43","2","11","2","1.53","13","0.15","0.06","-0.03","","-0.19","-0.03"
"Felipe Rodríguez","Tigres UANL","2023/2024","1255","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.07","0.07","0","100","0","0","0","0","0","0","0","0","0.14","0.14","0","7.96","2.59","0","2.58","0","0","0","0","0","0","0","0.07","","0","0","0.14","0.20","0.07","0","0","10.68","0","0","0","","0.07","0","0","22.24","75","5.74","14","45","2.73","10.11","12","50","-25","11.86","0.57","0.22","0.22","17.86","100","3.64","0.36","0.14","0.14","0","0","0","0.14","0","0","0","","0","40","60","0","100","0","0","34.34","42.95","0.79","76","8.61","26.97","32.64","1.36","1.17","-0.19","65","70","-5","1.27","3.95","30","13.06","1.75","0","0","16.38","1","7","3","1.27","9","0.08","0.03","","","-0.32","-0.22"
"Fernando Tapia","Querétaro","2023/2024","1440","Goalkeeper","0","0","0","","0","","","0","","0","0","0.00","0.12","0","0.00","0.12","0","0","0","0","0.00","0.12","-0.00","0.06","0.06","0","100","0","0","0","0","0","0","0.06","0.03","0.19","0.25","0","8.69","2.29","0","3.94","0","0","0","0","0","0.06","0","0.19","","0","0","0.12","0.07","0.06","0","0","8.74","0","0","0","","0.31","0","0","15.18","50","6.75","3","36","0.94","18.06","5","58","8","10.44","1.12","0.06","0.06","9.56","100","5.90","0.62","0","0","0","0","0","0","0","","0","","0","67","33","0","100","0","0","54.97","50.46","0.77","80","-4.51","42.33","40.31","1.25","1.36","0.11","74","72","2","1.14","4.81","34","14.25","1.48","0.25","0.19","16.46","3","15","3","1.72","15","0.11","0.05","-0.04","","-0.01","0.11"
"Gibrán Lajud","Santos Laguna","2023/2024","930","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.10","0","0","0","0","0","0","0","0.19","0.19","0","7.84","2.96","0","4.06","0","0","0","0","0","0.10","0","0.19","","0","0","0.10","0.15","0","0","0","11.36","0","0","0","","0.10","0","0","12.77","56","4.06","20","30","1.16","12.38","5","17","-39","11.01","0.97","0.07","0.07","9.39","100","5.28","0.39","0.10","0","0.10","0","0","0","0","0","0","","0","60","40","0","100","0","0","49.80","60.43","0.69","115","10.63","34.50","69.38","1.64","1.15","-0.50","63","74","-11","1.02","4.45","36","12.29","1.85","0.19","0.19","16.22","-0","16","5","1.50","8","0.14","0.06","-0.07","","-0.66","-0.53"
"Guillermo Allison","Querétaro","2023/2024","2090","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.13","0","0.04","0.04","0","0","0","0","0.34","0.13","0","8.91","2.42","0","3.44","0","0","0","0","0","0.13","0","0.04","","0","0","0.22","0.15","0.04","0","0","6.96","0","0","0","","0.09","0","0","15.29","58","8.01","13","42","1.81","17.05","9","33","-25","10.74","2.11","0.08","0.08","10.42","100","6.13","0.86","0","0","0","0","0","0","0","","0","","0","66","34","0","100","0","0","52.79","48.50","0.82","78","-4.29","43.39","38.06","1.03","1.34","0.31","79","73","6","1.19","4.91","35","14.21","1.61","0.17","0.13","15.48","-1","12","3","2.37","16","0.14","0.04","-0.03","","0.19","0.34"
